,p_name,year,latitude,longitude,built_capacity
0,25 Mile Creek,2022.0,36.46696816666667,-99.76368116666669,250.0
1,251 Wind,1987.0,35.077663333333334,-118.36412333333334,18.43
2,30 MW Iowa DG Portfolio,2017.0,42.006571,-93.449786,30.0
3,6th Space Warning Squadron,2013.0,41.75334,-70.54355,3.36
4,AFCEE MMR Turbines,2011.0,41.75859,-70.54655,3.0
5,AG Land 1,2012.0,42.20639,-93.32569,9.6
6,AG Land 2,2012.0,42.14609,-93.42809,9.6
7,AG Land 3,2012.0,42.14559,-93.43199,9.6
8,AG Land 4,2012.0,41.90419,-93.3549,9.6
9,AG Land 5,2012.0,42.33549,-93.6321,9.6
10,AG Land 6,2012.0,42.33549,-93.6368,9.6
11,AMP-Ohio/Green Mountain Energy Wind Farm,2004.0,41.38359,-83.7363,3.6
12,Adair,2008.0,41.45571552631579,-94.6677422368421,174.8
13,Adams,2016.0,40.920774375,-94.6747484375,154.28
14,"Adams Wind Generations, LLC",2011.0,44.91498166666667,-94.72384333333332,19.8
15,Agassiz Beach,2001.0,47.00331,-96.43283,1.98
16,Agriwind,2008.0,41.300815,-89.619095,8.4
17,Ainsworth Wind Project (NPPD),2005.0,42.46111583333333,-99.91407472222222,59.400000000000006
18,Air Force (Barnstable),2009.0,41.65769,-70.5911,1.5
19,Air Force (Laramie),2009.0,41.17829,-104.88469,2.0
20,Akron-Westfield School District,1999.0,42.82989,-96.54119,0.6000000000000001
21,Alexander,2015.0,38.43124666666667,-99.53413809523808,48.3
22,Alite Wind Farm,2008.0,35.03512,-118.3410775,24.0
23,Allegheny Ridge,2007.0,40.38467571428571,-78.5839280952381,80.0
24,Alta Farms II,2023.0,40.1903416,-89.05788899999999,200.5
25,Alta I,2010.0,35.0374996039604,-118.37155198019803,150.0
26,Alta II,2010.0,35.02604707317073,-118.23378780487803,150.0
27,Alta III,2011.0,35.009779800000004,-118.2838566,150.0
28,Alta IV,2011.0,35.031885675675674,-118.31614891891893,102.0
29,Alta V,2011.0,35.012837142857144,-118.2491225,168.0
30,Alta VI (partial),2011.0,35.022891739130436,-118.30785673913044,132.0
31,Alta VIII (partial),2011.0,35.00132293103448,-118.2326546551724,129.0
32,Alta X,2013.0,35.09782791666667,-118.23356958333332,136.8
33,Alta XI,2013.0,35.087262448979594,-118.3766624489796,89.65
34,Altech III,1985.0,33.891428000000005,-116.58448,21.71
35,Amadeus,2020.0,32.983682083333335,-100.55008947916669,250.12
36,Amazon Wind Farm (Fowler Ridge),2015.0,40.63700753846154,-87.37770323076924,149.5
37,Amazon Wind Farm Texas,2017.0,32.89249990909091,-100.9886491818182,253.0
38,Amazon Wind Farm US Central,2016.0,41.12734666666667,-84.76025895833332,100.8
39,Amazon Wind Farm US East,2017.0,36.31688173076923,-76.41951471153847,208.0
40,American Windmill Museum,2005.0,33.58089,-101.82389,0.66
41,Anacacho,2012.0,29.190199818181817,-100.1920981818182,99.0
42,Anderson Wind Project,2014.0,33.02113625,-103.86115125,14.95
43,Anheuser-Busch Fairfield,2011.0,38.2323,-122.08929,1.5
44,Anheuser-Busch Fairfield,2014.0,38.23351,-122.09208,1.85
45,Antrim,2019.0,43.05537111111111,-72.01621666666666,28.799999999999997
46,Apogee Stadium Wind,2012.0,33.20113,-97.16092666666668,0.3
47,Appalachian State,2009.0,36.21349,-81.69221,0.1
48,Appaloosa Run,2022.0,31.162890967741937,-101.83173193548387,171.84903225806454
49,Apple Blossom,2017.0,43.8142124137931,-83.30664689655173,100.05
50,Applied Materials,2012.0,42.62819,-70.6494,2.5
51,Aragonne Mesa 2,2022.0,34.8246652,-105.0273118,143.06
52,Aragonne Mesa 2 Expansion,2022.0,34.812249393939396,-105.07854363636363,91.5
53,Arbor Hill,2018.0,41.447594640000005,-94.32339048,29.17
54,Arbor Hill 2019,2020.0,41.47206647058823,-94.39115,61.4
55,Arbuckle Mountain,2015.0,34.3890022,-97.1744626,100.0
56,Archbold Local Schools Wind Turbine,2012.0,41.51519,-84.3159,0.75
57,Arends Brothers,2009.0,39.53131,-88.02977,0.1
58,Arkwright Summit,2018.0,42.40774833333333,-79.23183305555555,78.4
